rom_name,display_name,year,manufacturer,players,rotation,status,is_clone,parent,category,board
sl2007,Shooting Love 2007 (Japan),2007,Triangle Service,0,270,unknown,false,,,sega_naomi
slasho,Slashout,2000,Sega,0,0,unknown,false,,,sega_naomi
slashout,Slashout (GDS-0004),2000,Sega,0,0,unknown,false,,,sega_naomi
smlg99,World Series 99 / Super Major League 99,1999,Sega,0,0,unknown,false,,,sega_naomi
soulsurf,Soul Surfer (Rev A),2002,Sega,0,0,unknown,false,,,sega_naomi_2
spawn,Spawn: In the Demon's Hand (Rev B),1999,Todd McFarlane / Capcom,0,0,unknown,false,,,sega_naomi
spkrbtl,Spikers Battle (GDS-0005),2001,Sega,0,0,unknown,false,,,sega_naomi
sprtjam,Sports Jam (GDS-0003),2000,Sega,0,0,unknown,false,,,sega_naomi
sprtshot,Sports Shooting USA,2003,Sammy USA,0,0,unknown,false,,,sammy_atomiswave
ss2005,"Super Shanghai 2005 (Japan, Rev A) (GDL-0031A)",2005,Starfish,0,0,unknown,false,,,sega_naomi
ss2005o,Super Shanghai 2005 (Japan) (GDL-0031),2005,Starfish,0,0,unknown,true,ss2005,,sega_naomi
sstrkfgt,Sega Strike Fighter (Rev A),2000,Sega,0,0,unknown,false,,,sega_naomi
sstrkfgta,"Sega Strike Fighter (Rev A, no training mode)",2000,Sega,0,0,unknown,true,sstrkfgt,,sega_naomi
starseek,Doki Doki Idol Star Seeker (GDL-0005),2001,G.Rev,0,0,unknown,false,,,sega_naomi
suchie3,Idol Janshi Suchie-Pai 3 (Japan),1999,Jaleco,0,0,unknown,false,,,sega_naomi
sushibar,Sushi Bar / Toretore! Sushi,2003,Sammy,0,0,unknown,false,,,sammy_atomiswave
takoron,Noukone Puzzle Takoron (Japan) (GDL-0042),2006,Compile Heart,0,0,unknown,false,,,sega_naomi
tduno,Touch de Uno! / Unou Nouryoku Check Machine (Japan),1999,Sega,0,0,unknown,false,,,sega_naomi
tduno2,Touch de Uno! 2 (Japan),2000,Sega,0,0,unknown,false,,,sega_naomi
tetgiano,Tetris Giant / Tetris Dekaris (MDA-C0076),2009,Sega,0,0,unknown,true,tetgiant,,sega_system_sp
tetkiwam,Tetris Kiwamemichi (Japan) (GDL-0020),2004,Success,0,0,unknown,false,,,sega_naomi
tokyobus,"Tokyo Bus Guide (Japan, Rev A)",1999,Fortyfive,0,0,unknown,false,,,sega_naomi
toukon4,"Shin Nihon Pro Wrestling Toukon Retsuden 4 Arcade Edition (Japan, TRF1 Ver.A)",2000,Namco,0,0,unknown,false,,,sega_naomi
toyfight,Toy Fighter,1999,Sega / Anchor Inc.,0,0,unknown,false,,,sega_naomi
trgheart,Trigger Heart Exelica Ver.A (Japan) (GDL-0036A),2006,Warashi,0,270,unknown,false,,,sega_naomi
trghearto,Trigger Heart Exelica (Japan) (GDL-0036),2006,Warashi,0,270,unknown,true,trgheart,,sega_naomi
trizeal,Trizeal (Japan) (GDL-0026),2004,Triangle Service,0,270,unknown,false,,,sega_naomi
undefeat,Under Defeat (Japan) (GDL-0035),2005,G.Rev,0,270,unknown,false,,,sega_naomi
unomedal,UNO the Medal,2009,Sega,0,0,unknown,false,,,sega_system_sp
usagiym,Usagi - Yamashiro Mahjong Hen (Japan) (GDL-0022),2003,Warashi / Mahjong Kobo / Taito,0,0,unknown,false,,,sega_naomi
vathlete,Virtua Athletics / Virtua Athlete (GDS-0019),2001,Sega,0,0,unknown,false,,,sega_naomi
vf4,Virtua Fighter 4 Version C (GDS-0012C),2001,Sega,0,0,unknown,false,,,sega_naomi_2
vf4b,Virtua Fighter 4 (Rev B) (GDS-0012B),2001,Sega,0,0,unknown,true,vf4,,sega_naomi_2
vf4cart,Virtua Fighter 4 (World),2002,Sega,0,0,unknown,false,,,sega_naomi_2
vf4evo,Virtua Fighter 4: Evolution (Version B) (Japan) (GDS-0024C),2002,Sega,0,0,unknown,false,,,sega_naomi_2
vf4evoa,Virtua Fighter 4: Evolution (Japan) (GDS-0024A),2002,Sega,0,0,unknown,true,vf4evo,,sega_naomi_2
vf4evob,Virtua Fighter 4: Evolution (Version B) (Japan) (GDS-0024B),2002,Sega,0,0,unknown,true,vf4evo,,sega_naomi_2
vf4evoct,Virtua Fighter 4: Evolution (World),2002,Sega,0,0,unknown,false,,,sega_naomi_2
vf4o,Virtua Fighter 4 (GDS-0012),2001,Sega,0,0,unknown,true,vf4,,sega_naomi_2
vf4tuned,Virtua Fighter 4: Final Tuned (Ver. B) (GDS-0036F),2004,Sega,0,0,unknown,false,,,sega_naomi_2
vf4tuneda,Virtua Fighter 4: Final Tuned (Rev A) (GDS-0036A),2004,Sega,0,0,unknown,true,vf4tuned,,sega_naomi_2
vf4tunedd,Virtua Fighter 4: Final Tuned (Ver. A) (GDS-0036D),2004,Sega,0,0,unknown,true,vf4tuned,,sega_naomi_2
vfurlong,Net@Select: Horse Racing - Victory Furlong,2005,Progress / Sammy,0,0,unknown,false,,,sammy_atomiswave
virnbao,Virtua NBA,2000,Sega,0,0,unknown,true,virnba,,sega_naomi
virnbap,Virtua NBA (prototype),1999,Sega,0,0,unknown,true,virnba,,sega_naomi
virnbapa,"Virtua NBA (prototype, 15.11)",1999,Sega,0,0,unknown,true,virnba,,sega_naomi
vonot,Cyber Troopers Virtual-On: Oratorio Tangram M.S.B.S. ver 5.66 2000 Edition,2000,Sega,0,0,unknown,false,,,sega_naomi
vs2_2k,Virtua Striker 2 Ver. 2000 (Rev C),1999,Sega,0,0,unknown,false,,,sega_naomi
vs2_2ko,Virtua Striker 2 Ver. 2000,1999,Sega,0,0,unknown,true,vs2_2k,,sega_naomi
vstrik3,Virtua Striker 3 (GDS-0006),2001,Sega,0,0,unknown,false,,,sega_naomi_2
vstrik3c,"Virtua Striker 3 (World, Rev B)",2001,Amusement Vision / Sega,0,0,unknown,false,,,sega_naomi_2
vstrik3co,Virtua Striker 3 (World),2001,Amusement Vision / Sega,0,0,unknown,true,vstrik3c,,sega_naomi_2
vtenis2c,Virtua Tennis 2 / Power Smash 2 (Rev A),2001,Sega,0,0,unknown,false,,,sega_naomi
vtennis,Virtua Tennis / Power Smash,1999,Sega,0,0,unknown,false,,,sega_naomi
vtennis2,Virtua Tennis 2 / Power Smash 2 (Rev A) (GDS-0015A),2001,Sega,0,0,unknown,false,,,sega_naomi
